"Extension","FileCount","TotalSizeKB","TotalSizeMB"
"<no extension>","939","4779.4","4.67"
".md","554","2825.06","2.76"
".tsx","481","3214.17","3.14"
".ts","433","2582.2","2.52"
".json","287","14012.54","13.68"
".csv","68","168870.4","164.91"
".js","66","285.2","0.28"
".sql","52","473.78","0.46"
".yml","49","49.27","0.05"
".ps1","48","340.98","0.33"
".jsx","45","481.53","0.47"
".sh","39","65.32","0.06"
".bat","22","61.84","0.06"
".yaml","16","37.45","0.04"
".py","16","31.32","0.03"
".gitignore","15","1.87","0"
".toml","14","4.86","0"
".editorconfig","13","1.82","0"
".xlsx","13","8754.2","8.55"
".gitattributes","13","0.26","0"
".vsidx","10","15153.17","14.8"
".txt","9","30.96","0.03"
".conf","7","13.69","0.01"
".robot","6","49.24","0.05"
".cjs","6","26.15","0.03"
".css","6","35.85","0.04"
".db","6","28684","28.01"
".html","4","490.03","0.48"
".production","4","10.41","0.01"
".example","3","4.36","0"
".url","3","0.52","0"
".bicep","3","13.11","0.01"
".babelrc","2","0.4","0"
".config","2","163.4","0.16"
".po","2","4.73","0"
".ico","2","0.06","0"
".mpack","2","517.99","0.51"
".lnk","2","0.15","0"
".code-workspace","2","0.28","0"
".tsx (ThemeProvider)","2","8.28","0.01"
".local","2","4.78","0"
".tsbuildinfo","2","3862.4","3.77"
".sqlite","2","1776","1.73"
".xml","1","4.57","0"
".template","1","4.96","0"
".vercelignore","1","0.97","0"
".secrets","1","0.75","0"
".dockerignore","1","1.05","0"
".png","1","4.12","0"
".TAG","1","0.19","0"
".fixed","1","2.3","0"
".bin","1","256.21","0.25"
".ini","1","4.3","0"
".backup","1","0.99","0"
".cloudflare","1","2.06","0"
